Name NL;Name FR;Name DE;X;Y;NIS
Gooik;Gooik;Gooik;4,114;50,7948;23024
Gouvy;Gouvy;Gouvy;5,9174;50,2246;82037
Grâce-Hollogne;Grâce-Hollogne;Grâce-Hollogne;5,4768;50,6324;62118
Grez-Doiceau;Grez-Doiceau;Grez-Doiceau;4,6963;50,7386;25037
Grimbergen;Grimbergen;Grimbergen;4,3722;50,9321;23025
Grobbendonk;Grobbendonk;Grobbendonk;4,7381;51,1902;13010
Haacht;Haacht;Haacht;4,6359;50,9703;24033
Haaltert;Haaltert;Haaltert;4,0047;50,9;41024
Habay;Habay;Habay;5,6541;49,7317;85046
Halen;Halen;Halen;5,1143;50,9475;71020
Halle;Halle;Halle;4,2328;50,7348;23027
Ham;Ham;Ham;5,1488;51,1014;71069
Hamme;Hamme;Hamme;4,138;51,0979;42008
Hamoir;Hamoir;Hamoir;5,5284;50,4255;61024
Hamois;Hamois;Hamois;5,1208;50,3258;91059
Hamont-Achel;Hamont-Achel;Hamont-Achel;5,5455;51,2511;72037
Ham-sur-Heure-Nalinnes;Ham-sur-Heure-Nalinnes;Ham-sur-Heure-Nalinnes;4,3925;50,3216;56086
Hannut;Hannut;Hannut;5,0794;50,6738;64034
Harelbeke;Harelbeke;Harelbeke;3,3114;50,8565;34013
Hasselt;Hasselt;Hasselt;5,3369;50,931;71022
Hastière;Hastière;Hastière;4,8207;50,2128;91142
Havelange;Havelange;Havelange;5,2448;50,3857;91064
Hechtel-Eksel;Hechtel-Eksel;Hechtel-Eksel;5,366;51,1246;72038
Heers;Heers;Heers;5,2952;50,7527;73022
Heist-op-den-Berg;Heist-op-den-Berg;Heist-op-den-Berg;4,7283;51,0758;12014
Hélécine;Hélécine;Hélécine;4,9906;50,7577;25118
Hemiksem;Hemiksem;Hemiksem;4,3294;51,1313;11018
Hensies;Hensies;Hensies;3,6852;50,4324;53039
Herbeumont;Herbeumont;Herbeumont;5,2371;49,7818;84029
Herent;Herent;Herent;4,6728;50,903;24038
Herentals;Herentals;Herentals;4,8406;51,1779;13011
Herenthout;Herenthout;Herenthout;4,7553;51,1406;13012
Herk-de-Stad;Herk-de-Stad;Herk-de-Stad;5,1665;50,9353;71024
Herne;Herne;Herne;4,0288;50,7244;23032
Héron;Héron;Héron;5,1398;50,5286;61028
Herselt;Herselt;Herselt;4,8799;51,0528;13013
Herstal;Herstal;Herstal;5,6304;50,665;62051
Herstappe;Herstappe;Herstappe;5,426;50,7265;73028
Herve;Herve;Herve;5,7938;50,6394;63035
Herzele;Herzele;Herzele;3,893;50,8847;41027
Heusden-Zolder;Heusden-Zolder;Heusden-Zolder;5,314;51,0243;71070
